id,area,cfr_28_subpart_d,ca_title15_or_statute,requirement,county_document,status,gap,priority,change_log,owner,target_date,disposition
42,Reporting,115.352(a)-(g),15 CCR 1361,"No time limit on filing a sexual abuse grievance; no requirement to use an informal process or resolve with staff; the grievance may not be submitted to or referred to the staff member who is its subject; final agency decision within 90 days with a permitted 70-day extension on written notice; third parties, including parents and legal guardians, may file; emergency grievances alleging substantial risk of imminent sexual abuse get an initial response within 48 hours and a final decision within 5 calendar days; discipline for filing only on a demonstrated bad-faith showing.","OO 1361 (Grievances), I.A, II.B, II.D, II.F, IV",Partial,"Now assessable. Met: no time limit on filing (I.A); confidential submission that does not pass through the subject staff member (II.B) and assignment only to staff not directly involved in the circumstances (II.F.2.a), which satisfies 115.352(c); appeal heard by a person not directly involved, escalating to the Assistant Division Chief with a five-day decision (IV). The three-business-day initial response and ten-business-day resolution sit comfortably inside the 90-day federal cap. Remaining gaps: (1) no emergency grievance track for an allegation of substantial risk of imminent sexual abuse, which requires immediate forwarding to a level where corrective action can be taken, an initial response within 48 hours, and a final decision within five calendar days, with both documenting the risk determination and the action taken; I.C's 'health and safety issues must be addressed immediately' is close but is not the standard; (2) the extension in II.D, 'unless circumstances dictate a longer time frame,' has no outer bound, whereas PREA caps extensions at 70 days with written notice and a stated decision date; (3) no statement that a youth alleging sexual abuse is not required to use the informal process first, which matters because the order's Purpose and the 'Your Voice' track both push toward informal resolution; (4) no third-party filing right and, in particular, no right for a parent or legal guardian to file a sexual abuse grievance and appeal on the youth's behalf without the youth's agreement, which 115.352(e)(4) requires; (5) no bad-faith-only rule for disciplining a grievant, which interacts with the PREA Policy XIV.A conflict below.",High,MATERIALLY REVISED: was Not Evidenced / Critical. OO 1361 reviewed; four of the standard's elements are met and five discrete gaps remain.,,,
43,Reporting,115.353(a)-(b),,"Provide residents access to outside victim advocates by posting or otherwise making accessible mailing addresses and telephone numbers, including toll-free hotlines, of local, state, or national victim advocacy or rape crisis organizations; enable communication in as confidential a manner as possible; inform residents of the extent to which communications are monitored.",PREA Policy XVI.A; OO 1361 I.C (WEAVE),Addressed,"Mailing addresses and hotline numbers must be made available, communications kept as confidential as possible, and residents informed that communications are monitored. OO 1361 I.C strengthens this by naming WEAVE as free confidential telephone support. Specify posting locations to match the PREA poster locations in PREA Policy II.B.4, and add the OYCR Ombudsperson toll-free number, which WIC 224.72 already requires be posted.",Low,REVISED: OO 1361 naming of WEAVE credited.,,,
44,Reporting,115.353(c),,Maintain or attempt to enter into memoranda of understanding or other agreements with community service providers able to provide confidential emotional support services related to sexual abuse; maintain copies of the agreements or documentation of attempts.,OO 1361 I.C names WEAVE; no MOU located,Not Addressed,"No MOU requirement and no evidence of an MOU with a rape crisis center or victim services provider, or of documented attempts to obtain one. Auditors request the agreement or the attempt documentation as a document review item and there is no way to pass this standard without one on file. The good news is that OO 1361 already names WEAVE as an available confidential support line, so an operating relationship exists in some form and formalizing it should be a short task rather than a new partnership.",High,"REVISED: was Critical. WEAVE relationship already referenced in policy, so this is a documentation task.",,,
45,Reporting,115.353(d),"15 CCR 1356, 1377",Provide residents reasonable and confidential access to attorneys or other legal representation and reasonable access to parents or legal guardians.,Not provided (Access to Legal Services policy not in packet),Not Evidenced,"Likely addressed by the Access to Legal Services and Visiting policies under 15 CCR 1377 and 1374, which were not provided.",Low,,,,
46,Reporting,115.354,15 CCR 1324(n),Establish a method to receive third-party reports of sexual abuse and sexual harassment and distribute publicly information on how to report on behalf of a resident.,None,Not Addressed,"No third-party reporting method and no publicly distributed information on how a parent, attorney, advocate, or community member reports on a youth's behalf. OO 1361 addresses only youth-filed grievances. 15 CCR 1324(n) independently requires a provision for reporting by a third party. The OYCR Ombudsperson does accept complaints from families, staff, and others under WIC 2200(d)(2), which helps, but the standard obliges the agency itself to establish a receiving method and to publish how to use it. A dedicated web page and a posted telephone number closes this.",High,REVISED: was Critical. OYCR Ombudsperson provides a partial external route; agency-side method and publication still required.,,,
47,Official Response,115.361(a),,"Require all staff to report immediately any knowledge, suspicion, or information regarding an incident of sexual abuse or sexual harassment that occurred in a facility, whether or not part of the agency; retaliation against residents or staff who reported; and any staff neglect or violation of responsibilities that may have contributed to an incident or to retaliation.",PREA Policy IV.A; V.A.7,Partial,"Immediate confidential reporting to the Duty Supervisor of information or suspicion of sexual assault within a county institution is required. Three elements are missing: sexual harassment as a separately reportable category, reports of retaliation, and reports of staff neglect or violation of responsibilities contributing to an incident. Abuse at another facility is addressed only in V.A.7 and only as a chief-level notification duty.",High,,,,
48,Official Response,115.361(b),PC 11164 et seq.; PC 11166(a); PC 11165.9,Require all staff to comply with applicable mandatory child abuse reporting laws.,PREA Policy V.A.4-5; OO 1453 (Sexual Assault) I.A.9; Code of Conduct VII.A.1-5,Conflict,"Worse than earlier revisions showed. The 24-hour Child Protective Services timeline now appears in two separate departmental documents. PREA Policy V.A.4 states it, and OO 1453 I.A.9 restates it: all incidents of sexual assault shall be reported to Child Protective Services verbally within 24 hours, with the written report within 36 hours. Penal Code 11166(a) requires the telephone report immediately or as soon as is practicably possible. OO 1453 was last revised December 9, 2019, six years after the PREA policy, so the department restated the error rather than catching it on review. The department's own Code of Conduct at VII.A.1 states the standard correctly, so three departmental documents now address the same duty and two of them are wrong. Separately, PC 11165.9 designates the agencies that may receive a mandated report, and PC 11166(j) imposes a distinct cross-reporting duty on a county probation department that receives one, requiring immediate telephone, fax, or electronic report to the law enforcement agency with jurisdiction, the agency responsible for WIC 300 investigations, and the district attorney, with written report within 36 hours. Neither is addressed in any reviewed document.",Critical,"REVISED in 3: the same 24-hour error appears again in OO 1453, revised December 2019.",,,
49,Official Response,115.361(c)-(d),,"Staff may not reveal information related to a sexual abuse report except to the extent necessary for treatment, investigation, and security and management decisions. Medical and mental health practitioners must report to designated supervisors and to the state or local services agency where required, and must inform residents at the initiation of services of their duty to report and the limits of confidentiality.",PREA Policy I.Q ('Need to Know' definition); VIII.A,Partial,'Need to Know' is defined but never operationalized as a disclosure restriction. The requirement that clinicians advise youth at the initiation of services of their reporting duty and the limits of confidentiality is absent.,Medium,,,,
50,Official Response,115.361(e),,"On receiving any allegation of sexual abuse, the facility head or designee shall promptly report it to the appropriate agency office and to the alleged victim's parents or legal guardians unless official documentation shows they should not be notified; to the caseworker instead if the youth is under child welfare guardianship; and, where a juvenile court retains jurisdiction, to the youth's attorney or legal representative of record within 14 days.",None,Not Addressed,"No parent, guardian, caseworker, or attorney notification requirement appears in any document in the packet. This is a discrete, high-visibility failure. The 14-day attorney notification in particular is frequently missed and is easy to build into the IIR workflow in OO 1362.",Critical,,,,
51,Official Response,115.362,,"When the agency learns a resident is subject to substantial risk of imminent sexual abuse, take immediate action to protect the resident.",PREA Policy VI.A.1; VII.A.1 (separation and contact elimination),Partial,"Separation after an incident is required. There is no stated duty to act immediately on a risk of imminent abuse that has not yet occurred, which is the trigger this standard addresses and the trigger the emergency grievance process under 115.352(f) feeds into.",High,,,,
52,Official Response,115.363(a)-(d),,"On receiving an allegation that a resident was sexually abused while confined at another facility, notify the head of that facility or the appropriate agency office and the appropriate investigative agency as soon as possible and no later than 72 hours after receiving the allegation; document the notification.",PREA Policy V.A.7,Conflict,"The policy sets a 14-day window for the Chief Deputy or Assistant Chief Deputy to notify the head of the facility where the abuse allegedly occurred. The federal standard is 72 hours. The 14-day figure appears to have been carried over from the attorney notification timeline in 115.361(e)(3). This is a straight timeline error and should be corrected to 72 hours, with documentation of the notification added.",Critical,,,,
53,Official Response,115.364(a)-(b),,"The first staff member to respond shall separate the alleged victim and abuser; preserve and protect the crime scene; and, where the timing still allows evidence collection, request that the victim take no action that could destroy physical evidence and ensure the alleged abuser takes no such action. A non-security first responder must make the request of the victim and then notify security staff.","OO 1453 (Sexual Assault) I.A.1, I.A.3, I.A.4, I.A.5; PREA Policy VI.A.1, VII.A.1",Partial,"Substantially closed by OO 1453, which was not available for the earlier revisions. I.A.1 requires immediate separation of victim and suspect with no contact. I.A.3 requires unit staff to protect the crime scene, naming the youth's room, shower area, and laundry room, by sealing off the area and denying access to other staff and youth. I.A.4 requires preventing both victim and suspect from showering. I.A.5 requires keeping both from the bathroom where possible and collecting toilet tissue as evidence if used. That covers the substance of 115.364(a) and in the crime scene provision exceeds what most agencies write down. Remaining gap: 115.364(b), the distinct duties of a non-security first responder, who must request that the victim take no action that could destroy evidence and then notify security staff. OO 1453 is directed to 'All Sworn Personnel' and does not address SCOE, clinic, mental health, kitchen, or volunteer staff who may be first on scene.",High,MATERIALLY REVISED in 3: OO 1453 closes 115.364(a). Only the non-security responder duty remains.,,,
54,Official Response,115.365,,"Develop a written institutional plan to coordinate actions taken in response to an incident of sexual abuse among staff first responders, medical and mental health practitioners, investigators, and facility leadership.","OO 1453 (Sexual Assault), full document",Partial,"Substantially closed. OO 1453 functions as a coordinated response plan in all but name: it sequences the first responder, the Duty Supervisor, the Chief Deputy or Assistant Chief Deputy, the Sheriff's Department, the Transportation Officer, the receiving medical facility, and the concluding incident review, and it specifies who does what at each stage. Three gaps remain. It covers sexual assault only, not the full sexual abuse and sexual harassment spectrum the standard reaches. It does not identify a role for mental health practitioners in the immediate response, although PREA Policy XV.A addresses crisis counseling separately. And it is not labeled or maintained as the institutional coordinated response plan, which matters only because an auditor asks for that document by name. Retitling and broadening OO 1453 is a far shorter path than drafting a new plan.",Medium,MATERIALLY REVISED in 3: was Not Addressed. OO 1453 is functionally the plan.,,,
55,Official Response,115.366,,Do not enter into or renew any collective bargaining or other agreement that limits the ability to remove alleged staff sexual abusers from contact with residents pending investigation or a discipline determination.,PREA Policy VII.A.2,Addressed,"The prohibition is stated correctly. Confirm the current MOU language with Labor Relations, since the standard is audited against the agreement, not the policy.",Medium,,,,
56,Official Response,115.367(a)-(f),,"Establish a policy protecting residents and staff who report or cooperate from retaliation; designate which staff members or departments monitor retaliation; employ multiple protection measures; monitor for at least 90 days the conduct and treatment of reporting residents and staff, including disciplinary reports, housing and program changes, and negative performance reviews or reassignments, with periodic status checks of residents; extend monitoring if indicated; act promptly to remedy retaliation.","PREA Policy, Guidelines (retaliation paragraph)",Partial,"Retaliation is prohibited and defined, and discipline or prosecution is threatened. Everything operational is missing: no designated retaliation monitor, no 90-day monitoring period, no enumerated indicators to watch, no periodic status checks with the youth, and no protection measures list. Retaliation monitoring is a standalone standard and a standalone audit failure.",Critical,,,,
57,Official Response,115.368,"15 CCR 1354, 1354.5",Any use of segregated housing to protect a resident alleged to have suffered sexual abuse is subject to the isolation requirements of 115.342.,PREA Policy III.D,Partial,Follows the 115.342(b) gaps above: daily clinician visits and documentation of the basis for isolation and the unavailability of alternatives. Must also be reconciled with WIC 208.3 room confinement limits.,High,,,,
58,Investigations,115.371(a)-(f),PC 832.5,"Investigate promptly, thoroughly, and objectively all allegations including third-party and anonymous reports; use investigators trained under 115.334; gather and preserve direct and circumstantial evidence including DNA and electronic monitoring data; interview victims, suspects, and witnesses; review prior complaints involving the suspected perpetrator; do not terminate an investigation solely because the source recants; consult prosecutors before compelled interviews; assess credibility individually and never require a victim to submit to a polygraph.","PREA Policy XII.A-C; Internal Affairs Administrative Investigations, General D-F, VII, VIII, X",Partial,"The Internal Affairs policy adds real substance: General D requires that all allegations of misconduct from citizen complaints or internal sources be promptly and thoroughly investigated; General E requires fair, impartial, and timely investigation; section VII requires an Administrative Admonishment or Lybarger warning before any interview or interrogation; section X sets a one-year completion timeline consistent with Government Code 3304. Still missing: express acceptance and investigation of third-party and anonymous reports; use of investigators trained under 115.334; the evidence-gathering standard, including physical and DNA evidence and available electronic monitoring data, which matters given the facility's fixed camera and audio recording systems referenced in OO 1362; review of prior complaints and reports of sexual abuse involving the suspected perpetrator; the rule that an investigation is not terminated solely because the source recants; consultation with prosecutors before compelled interviews, which is a live risk given the Lybarger compulsion in section VIII.B; individualized credibility assessment not determined by status as youth or staff; and the prohibition on requiring a youth who alleges abuse to submit to a polygraph.",Critical,REVISED: IA policy elements credited; remaining gaps itemized against it.,,,
59,Investigations,"115.371(g)-(h), (j)-(k)",,"Administrative investigations must include an effort to determine whether staff actions or failures to act contributed to the abuse and must be documented in written reports describing physical and testimonial evidence, credibility reasoning, and findings; criminal investigations documented with attached documentary evidence; reports retained as long as the alleged abuser is incarcerated or employed plus five years; departure of the alleged abuser or victim does not terminate an investigation.",PREA Policy XVIII.B (10 years); Internal Affairs XI.C.1 (5 years); 115.371(j) (tenure plus 5 years),Conflict,"Three different retention rules now govern the same records. Internal Affairs XI.C.1 retains records of citizen complaints, formal investigations, and dispositions for at least five years. PREA Policy XVIII.B retains all case records associated with claims of sexual abuse for at least ten years. 115.371(j) requires investigation reports to be retained for as long as the alleged abuser is incarcerated or employed by the agency, plus five years, which for a long-tenured employee is far longer than either. A department that destroys a sexual abuse investigation file at five years under the IA schedule violates its own PREA policy and the federal standard. Layer on CCP 352, which tolls a minor's limitations period, and the practical exposure is a file destroyed years before suit is filed. Reconcile the three into a single retention schedule reviewed with County Counsel. Also still missing: the duty to determine whether staff actions or failures to act contributed to the abuse; the required content of administrative and criminal investigative reports; and the rule that departure of the alleged abuser or victim does not terminate an investigation.",Critical,MATERIALLY REVISED: was Partial / High. IA five-year retention conflicts with the PREA policy's ten years and with the federal formula.,,,
60,Investigations,115.372,,Impose no standard higher than a preponderance of the evidence in determining whether allegations are substantiated.,Internal Affairs Administrative Investigations XI.A.3,Addressed,"The Internal Affairs disposition definitions state that Sustained means there is sufficient evidence to establish by a preponderance of the evidence that the incident occurred and constitutes misconduct. That satisfies 115.372 for employee misconduct investigations. Two caveats worth noting rather than treating as failures here: the standard is stated only for employee investigations, not for administrative determinations on youth-on-youth allegations, and the IA disposition taxonomy does not map to the PREA taxonomy, which is addressed in the row below.",Low,MATERIALLY REVISED: was Not Addressed / High. IA policy states the preponderance standard expressly.,,,
61,Investigations,115.373(a)-(f),,"Inform the resident whether the allegation was substantiated, unsubstantiated, or unfounded; request that information from an outside investigating agency where the agency did not investigate; and, following a staff-abuse allegation, notify the resident when the staff member is no longer posted in the unit, is no longer employed, is indicted, or is convicted; and following a resident-abuse allegation, when the abuser is indicted or convicted; document all notifications and attempted notifications.",Internal Affairs XI.B.1-2,Partial,"Internal Affairs XI.B.1 requires that where a formal investigation resulted from a citizen or internal complaint, the complainant be notified in writing of the disposition. Where the youth is the complainant that is a partial answer to 115.373(a), but it is contingent on the youth being treated as the complainant, it uses IA disposition language rather than substantiated, unsubstantiated, or unfounded, and it does not reach the rest of the standard. Still absent: notification where the agency did not conduct the investigation, including the duty to request the outcome from the investigating agency; and the four ongoing notifications following a staff-abuse allegation, when the staff member is no longer posted in the youth's unit, is no longer employed at the facility, is indicted, or is convicted, plus the two parallel notifications following a youth-on-youth allegation. No documentation of notifications or attempted notifications is required.",Critical,REVISED: was Not Addressed. IA complainant notification credited as a partial answer.,,,
62,Discipline,115.376(a)-(d),PC 832.5,"Staff subject to discipline up to termination; termination is the presumptive sanction for staff who engaged in sexual abuse; sanctions for other policy violations commensurate with the conduct and consistent across comparable cases; all terminations, and resignations by staff who would have been terminated, reported to law enforcement unless clearly non-criminal, and to any relevant licensing bodies.","PREA Policy XIII.A, VII.A.1-2; Internal Affairs XIII (Disciplinary Process), X (Timelines)",Partial,"The Internal Affairs policy supplies a complete and well-built disciplinary machinery: Notice of Proposed Discipline, Skelly hearing before an Assistant Chief Deputy or higher not involved in the investigation or adjudication, Order of Disciplinary Action, and affidavits of service. What PREA adds and the department does not have: the presumptive-termination rule for staff who engaged in sexual abuse (115.376(b)), and the duty to report all terminations, and resignations by staff who would have been terminated, to law enforcement unless the conduct was clearly non-criminal and to any relevant licensing or certification bodies (115.376(d)). Coordinate the licensing element with County Counsel and Labor Relations; note that probation officers are peace officers under PC 830.5, which the IA policy itself recognizes at VIII.L.",High,REVISED: IA disciplinary process credited; the two PREA-specific additions isolated.,,,
63,Discipline,115.377(a)-(b),,Any contractor or volunteer who engages in sexual abuse shall be barred from contact with residents and reported to law enforcement unless clearly non-criminal and to relevant licensing bodies; take appropriate remedial measures for other violations and consider barring further contact.,Code of Conduct VI.E (rescinding or suspending clearance); VI.G (criminal conduct referral),Partial,"The clearance-suspension and criminal-referral machinery is well built out and largely accomplishes the standard in practice. Missing: express reporting to relevant licensing bodies, and a PREA-specific trigger. The Code of Conduct is dated 06/01/11 and does not mention sexual abuse or PREA at all.",Medium,,,,
64,Discipline,115.378(a)-(g),"15 CCR 1390, 1391","Discipline a resident for resident-on-resident sexual abuse only through a formal disciplinary process following an administrative or criminal finding; sanctions commensurate and consistent; isolation sanctions preserve daily large-muscle exercise, legally required education, and daily clinician visits; consider whether mental disability or illness contributed; discipline a resident for sexual contact with staff only on a finding the staff member did not consent; and a good-faith report based on a reasonable belief is not false reporting or lying even if unsubstantiated.",PREA Policy XIV.A; XIII.B; OO 1362 III.G,Conflict,"The False Allegations section states that if an investigation determines the allegations 'were false,' the resident making them may be disciplined. That is broader than PREA permits. Under 115.378(f) a good-faith report based on a reasonable belief cannot be treated as false reporting even where the investigation does not substantiate it, and 115.352(g) permits discipline only where the agency demonstrates bad faith. As written, the policy chills reporting, and it will be read to a jury that way. Rewrite to a bad-faith standard with the burden on the department. Also missing: the requirement that discipline for sexual contact with staff issue only on a finding the staff member did not consent, and the mental-disability consideration.",Critical,,,,
65,Medical and Mental Health,115.381(a)-(b),,"Where screening indicates prior sexual victimization, offer a follow-up meeting with a medical or mental health practitioner within 14 days of the intake screening; where screening indicates prior perpetration of sexual abuse, offer a follow-up meeting with a mental health practitioner within 14 days.",PREA Policy III.C,Partial,"Residents identified with such a history are referred to Mental Health as a high priority for evaluation, which is directionally right but does not meet the standard. Missing: the 14-day clock, the distinction between prior victimization and prior abusiveness, and the requirement that the meeting be offered rather than merely referred.",High,,,,
66,Medical and Mental Health,115.381(c)-(d),15 CCR 1407,Limit information about institutional sexual victimization or abusiveness to medical and mental health practitioners and other staff as necessary for treatment and security decisions; obtain informed consent before reporting non-institutional prior victimization unless the resident is under 18.,OO 1350.5 Purpose and Scope; PREA Policy I.Q,Partial,"Confidentiality of classification material is stated. The informed-consent rule matters for residents 18 and over housed at YDF, which Title 15 expressly contemplates in its definition of 'youth,' and is not addressed.",Medium,,,,
67,Medical and Mental Health,115.382(a)-(d),15 CCR 1453,"Timely unimpeded access to emergency medical treatment and crisis intervention; where no clinician is on duty, first responders take protective steps and immediately notify practitioners; offer timely information about and access to emergency contraception and sexually transmitted infection prophylaxis where medically appropriate; provide services without financial cost and regardless of whether the victim names the abuser or cooperates with an investigation.","PREA Policy VIII.A, VIII.C; XV.A",Partial,"Immediate notification of the Duty Supervisor, evidentiary examination, crisis counseling, and follow-up STI and HIV testing as clinically indicated are addressed. Missing: emergency contraception and STI prophylaxis, the no-cost provision, and the express rule that treatment does not depend on naming the abuser or cooperating with the investigation.",High,,,,
68,Medical and Mental Health,115.383(a)-(h),,"Offer medical and mental health evaluation and treatment to all residents victimized in any confinement facility; include follow-up services, treatment plans, and referrals on transfer or release; provide care consistent with the community level of care; offer pregnancy tests after sexually abusive vaginal penetration and access to pregnancy-related services; offer STI testing; provide all services at no cost and regardless of cooperation; attempt a mental health evaluation of all known resident-on-resident abusers within 60 days.",PREA Policy XV.A-B; XVII.A,Partial,"Crisis counseling, suicide and self-injury monitoring, and community re-entry referral on request are present. Missing: ongoing evaluation and treatment for victims of abuse suffered at any confinement facility; treatment plans and transfer or release referrals; the community level of care standard; pregnancy testing and pregnancy-related services; the no-cost and no-conditions rule; and the 60-day mental health evaluation of known resident-on-resident abusers.",High,,,,
69,Data Collection and Review,115.386(a)-(e),,"Conduct a sexual abuse incident review at the conclusion of every investigation, including unsubstantiated allegations but excluding unfounded ones, ordinarily within 30 days; the team must include upper-level management with input from line supervisors, investigators, and clinicians; the review must consider whether policy or practice should change, whether the incident was motivated by race, ethnicity, gender identity, LGBTI status, gang affiliation, or other group dynamics, examine the physical area for barriers enabling abuse, assess staffing adequacy on that shift, and assess whether monitoring technology should be deployed or augmented; prepare a written report to the facility head and PREA Compliance Manager; implement the recommendations or document why not.",OO 1453 (Sexual Assault) I.A.15; PREA Policy V.A.8,Partial,"Materially better than earlier revisions showed. OO 1453 I.A.15 requires that at the conclusion of the sexual assault investigation an incident review be conducted by upper management officials, with input from supervisors, investigators, and medical or mental health practitioners, and that a report be generated and forwarded to the PREA Coordinator and the Department Chief. That satisfies the team composition requirement of 115.386(b), the written report requirement of 115.386(d), and the routing to the facility head and compliance manager. Combined with PREA Policy V.A.8, which supplies the correct trigger including unsubstantiated allegations, the architecture is largely in place. Three elements remain: the ordinarily-within-30-days timeframe; the five substantive considerations at 115.386(c), meaning whether policy or practice should change, whether the incident was motivated by race, ethnicity, gender identity, LGBTI status, gang affiliation or other group dynamics, whether the physical area enabled abuse, whether staffing on that shift was adequate, and whether monitoring technology should be deployed or augmented; and the implement-or-document-why-not requirement at 115.386(e). Note the report has no valid recipient until a PREA Coordinator is designated.",High,"MATERIALLY REVISED in 3: OO 1453 I.A.15 supplies team, report, and routing. Remaining gap narrowed to timeframe, the five elements, and implementation.",,,
70,Data Collection and Review,115.387(a)-(f),,"Collect accurate uniform data for every allegation using a standardized instrument and set of definitions; aggregate at least annually; include the data necessary to answer all questions from the most recent DOJ Survey of Sexual Violence; maintain, review, and collect data from all incident-based documents including reports, investigation files, and incident reviews; obtain data from every contracted private facility; provide the previous calendar year's data to DOJ by June 30 on request.",PREA Policy XVIII.C; OO 1362 (JPIP IIR); OO 1361 II.E (IA Pro grievance log),Partial,"JPIP Institutional Incident Report documentation, an annual submission by the Assistant Chief Deputy to the Bureau of Justice Statistics, and June 30 provision to DOJ on request are stated. Two existing systems could carry the data without new infrastructure: the JPIP IIR application, which already captures serious events including sexual assault and inappropriate sexual behavior under OO 1362 I.A.13, and IA Pro, in which OO 1361 II.E requires every grievance to be logged with eleven fields including the nature of the grievance. Neither currently carries a PREA flag, so identifying the sexual abuse and sexual harassment population requires narrative review. Still missing: a standardized data collection instrument and set of definitions, alignment of collected fields to the current DOJ Survey of Sexual Violence question set, extraction from investigation files and incident reviews rather than IIRs alone, and collection from any contracted facility.",High,REVISED: IA Pro and JPIP identified as existing carriers for the data set.,,,
71,Data Collection and Review,115.388(a)-(d),,"Review the aggregated data to assess and improve the effectiveness of prevention, detection, and response policies, practices, and training by identifying problem areas, taking ongoing corrective action, and preparing an annual report of findings and corrective actions for each facility and for the agency as a whole; compare the current year with prior years and assess progress; the report must be approved by the agency head and made readily available to the public, with any redactions identified.",None,Not Addressed,"This is the tracking hole. Section XVIII of the PREA policy is titled Tracking and Data Collection but contains only collection, retention, and publication of raw aggregate data. There is no requirement to analyze the data, identify problem areas, take corrective action, or produce an annual findings-and-corrective-action report approved by the Chief Probation Officer and published. Data that is collected and never analyzed is, in litigation, evidence of notice without response. Highest-value single fix in this list after the PREA Coordinator.",Critical,,,,
72,Data Collection and Review,115.389(a)-(d),,Securely retain collected data; make aggregated data publicly available at least annually with all personal identifiers removed; retain the data for at least 10 years unless law requires otherwise.,PREA Policy XVIII.B-C,Addressed,"Ten-year retention of case records and at least annual public availability through the website or other means are both required by policy. Add the express removal of personal identifiers before publication and a secure retention statement. Verify the annual publication is actually occurring, since an unperformed publication requirement is worse than none.",Medium,,,,
73,Audit,115.393; 115.401-115.405,,"Ensure each facility is audited at least once during every three-year cycle, with at least one-third of each facility type audited each year, by a DOJ-certified auditor; the auditor's final report must be published on the agency website or otherwise made readily available to the public.",None. Department reports no PREA audits are conducted; reliance is placed on Title 15 inspection.,Not Addressed,"Confirmed by the department: YDF does not undergo PREA audits and relies on Title 15 inspection instead. Two points. First, a Title 15 inspection is not a substitute and provides no defense on any standard Title 15 does not contain, which includes every structural standard in this register: the PREA Coordinator and Compliance Manager, the documented staffing plan and the 1:8 and 1:16 ratios, hiring and contractor screening at 115.317, specialized investigator training, retaliation monitoring, notification of investigation outcomes to residents, notification to parents and counsel, the data analysis and corrective action loop, and the audit cycle itself. A clean BSCC inspection will not answer the question a plaintiff's expert asks. Second, verify the inspection cadence: WIC 209 provides for BSCC inspection of juvenile halls biennially, and for annual inspection by the judge of the juvenile court, with fire and health inspections on their own schedules. If YDF is in fact receiving BSCC visits more than once a year, confirm what those visits are, because the answer affects what the department can represent about its oversight.",Critical,REVISED in 3: department confirms no PREA audits; Title 15 inspection relied on as substitute.,,,
74,California-Specific,,15 CCR 1324(a)-(n),"Maintain a written policy and procedure manual addressing at a minimum all applicable regulations, made available to and reviewed by all employees, administratively reviewed at least every two years and updated as necessary.","PREA Policy (rev. 04/25/2013); Internal Affairs Administrative Investigations (eff. 01/11/2011, no revision shown); OO 1361 (eff. 01/01/2011, rev. 04/03/2019)",Conflict,"15 CCR 1324 requires the policy manual to be administratively reviewed at least every two years and updated as necessary. The governing PREA policy has not been revised since April 2013 and predates the January 1, 2019 Title 15 rewrite that added 1350.5, 1352.5, 1324(n), and 1361(h), as well as WIC 208.3 and the renumbering of PC 288a to PC 287. The Internal Affairs Administrative Investigations policy is dated January 11, 2011 with no revision shown, making it roughly fifteen years old, and it governs every sexual abuse investigation involving an employee. On its face this is a 1324 review failure independent of any substantive gap. The 2019 and 2020 operations orders (1350.5, 1352, 1360, 1361, 1362) are current by contrast, which makes the age of the two governing documents more conspicuous, not less.",Critical,REVISED: Internal Affairs policy age added.,,,
75,California-Specific,115.315(e); 115.342(d)-(g),15 CCR 1352.5,"Written policies and procedures ensuring respectful and equitable treatment of transgender and intersex youth: respect for gender identity, preferred name and pronoun, clothing and undergarments consistent with gender identity, housing that best meets individual needs with documented reasons for any decision not matching gender identity, consideration of the youth's preferences and provider recommendations, access to qualified medical and behavioral health providers, privacy during bathroom, shower, and dressing, no physical searches to determine anatomical sex, and respect for the youth's preference on the gender of the searching staff member whenever feasible.","OO 1352.5, Transgender and Intersex Youth, effective March 1, 2019",Addressed,"Produced and reviewed. The order implements 15 CCR 1352.5 comprehensively: respect for gender identity and preferred pronoun with documented exceptions for gang or slang names (II.A); dress and undergarments consistent with gender identity (II.B); access to qualified medical and behavioral health providers (II.C); safety and privacy for bathroom, shower, and dressing (II.D); individualized housing with documented justification (III.B, III.F); consideration of youth preference and provider recommendations (III.C); no physical search to determine anatomical sex (IV.A.1); and respect for the youth's preference on the gender of searching staff whenever feasible (IV.A.3). Revision 1 of this analysis wrongly reported that no such policy existed and revision 2 could not assess it. The finding is now closed except for the III.I categorical single-room provision, which is tracked in the 115.342(d)-(g) row, and one date problem worth noting: 1352.5 took effect March 1, 2019, and OO 1352 created the conflicting S-8 classification in December 2019 and revised it in February 2020, meaning the later order contradicted the earlier one.",Low,MATERIALLY REVISED in 3: policy produced and substantially compliant. Corrects revisions 1 and 2.,,,
76,California-Specific,,15 CCR 1362,"A written report of all incidents resulting in physical harm, use of force, serious threat of physical harm, or death shall be prepared by staff and submitted to the facility manager by end of shift unless additional time is authorized.",OO 1362 (Reporting of Incidents),Addressed,"OO 1362 substantially exceeds the Title 15 minimum, and I.A.13 lists sexual assault, acting out, and other inappropriate sexual behavior as a reportable serious event. Consider adding an explicit PREA flag field to the IIR so that sexual abuse and sexual harassment allegations are machine-identifiable for the 115.387 data set rather than requiring narrative review.",Medium,,,,
